location_id,location_name,street_name,locality,sub_locality,city,district,state,pincode,location_type,tourist_destination,latitude,longitude,predicted_safety_score,predicted_risk_level
LOC_106879,Naulakkha,,Naulakkha,,,,Himachal Pradesh,,village,0,31.56156,76.90986,51.99731265251597,RISKY
LOC_106880,Uraisa,,Uraisa,,,,Madhya Pradesh,,village,0,24.20454,81.79599,48.22255438499617,RISKY
LOC_106881,Jabra,,Jabra,,,,Bihar,,village,0,24.70393,85.15481,51.774249843187725,RISKY
LOC_106882,Godākhera,,Godākhera,,,,Uttar Pradesh,,village,0,27.7918,77.93587,49.27328179281741,RISKY
LOC_106883,Māregaon Buzurg,,Māregaon Buzurg,,,,Maharashtra,,village,0,19.6679,78.14704,47.61759438901906,RISKY
LOC_106884,Brāhmanapālem,,Brāhmanapālem,,,,Andhra Pradesh,,village,0,16.28125,80.76551,51.11479612071992,RISKY
LOC_106885,Dhīmar Dānda,,Dhīmar Dānda,,,,Uttar Pradesh,,village,0,26.77498,78.63267,49.90785413442517,RISKY
LOC_106886,Delwāra,,Delwāra,,,,Uttar Pradesh,,village,0,24.77109,78.36899,55.22883008269358,MODERATE
LOC_106887,Getruān,,Getruān,,,,Jammu and Kashmir,,village,0,32.41825,75.5639,46.99933100831773,RISKY
LOC_106888,Reddipalāiyam,,Reddipalāiyam,,,,Tamil Nadu,,village,0,11.10873,79.16327,60.244260606386035,MODERATE
LOC_106889,Pura Sitlādu Pānde,,Pura Sitlādu Pānde,,,,Uttar Pradesh,,village,0,26.34636,81.64583,51.838625310500014,RISKY
LOC_106890,Ariyiraksam,,Ariyiraksam,,,,Kerala,,village,0,8.72509,76.71687,54.889141877928814,RISKY
LOC_106891,Kāfūrpur,,Kāfūrpur,,,,Uttar Pradesh,,village,0,28.86916,78.36214,47.23306101018457,RISKY
LOC_106892,Chuhātoli,,Chuhātoli,,,,Jharkhand,,village,0,22.78589,84.36317,45.09362995932696,RISKY
LOC_106893,Varadanallūr,,Varadanallūr,,,,Tamil Nadu,,village,0,11.49433,77.71066,56.624031133459205,MODERATE
LOC_106894,Namb,,Namb,,,,Jammu and Kashmir,,village,0,33.25096,74.03321,49.04494064969662,RISKY
LOC_106895,Rājnagar,,Rājnagar,,,,Odisha,,village,0,21.76277,85.81454,54.79711729865175,RISKY
LOC_106896,Itāwa,,Itāwa,,,,Rajasthan,,village,0,25.10114,74.80922,51.323009194516665,RISKY
LOC_106897,Ghania,,Ghania,,,,Punjab,,village,0,30.41764,75.03462,53.99020696218505,RISKY
LOC_106898,Marhūn,,Marhūn,,,,Uttar Pradesh,,village,0,25.52627,81.83987,52.22561044075825,RISKY
LOC_106899,Chamaria,,Chamaria,,,,Uttarakhand,,village,0,29.82442,78.32133,56.32568787432387,MODERATE
LOC_106900,Majhaua,,Majhaua,,,,Uttar Pradesh,,village,0,26.9602,82.34847,44.61395548261745,RISKY
LOC_106901,Gaundaria,,Gaundaria,,,,Uttar Pradesh,,village,0,27.43869,81.69563,51.21651989962097,RISKY
